"{'roll': 222.15039009513467, 'pitch': 301.99815651165676, 'yaw': 124.54285777892808}"
"{'roll': 222.6401283190029, 'pitch': 301.33521152062616, 'yaw': 124.51630200343507}"
"{'roll': 223.37833516449788, 'pitch': 301.4814527009453, 'yaw': 125.05748521213187}"
"{'roll': 223.20640564271034, 'pitch': 301.11063490071615, 'yaw': 125.00057607596732}"
"{'roll': 222.43462158725558, 'pitch': 301.5181922884908, 'yaw': 125.63408978186435}"
"{'roll': 223.62610710682927, 'pitch': 301.297481555651, 'yaw': 124.51197166350128}"
"{'roll': 223.92875278895252, 'pitch': 301.1589106777698, 'yaw': 124.00130574001611}"
"{'roll': 224.90779210458217, 'pitch': 301.11308693862816, 'yaw': 123.10222061881065}"
"{'roll': 224.82998258955737, 'pitch': 301.1942569067246, 'yaw': 122.43165996685548}"
"{'roll': 224.78887851113225, 'pitch': 301.26467615706747, 'yaw': 122.76322466992458}"
"{'roll': 224.94769406971338, 'pitch': 300.38921666020104, 'yaw': 122.91541494501081}"
"{'roll': 223.83933195233874, 'pitch': 300.8309181636366, 'yaw': 123.7354337963842}"
"{'roll': 224.98755505370957, 'pitch': 301.45725334071597, 'yaw': 123.40350026309991}"
"{'roll': 224.04421030668243, 'pitch': 301.6124762197937, 'yaw': 124.3880856923356}"
"{'roll': 223.96861377294874, 'pitch': 302.0089618709237, 'yaw': 124.8921399927042}"
"{'roll': 223.96163331961696, 'pitch': 302.0350531935532, 'yaw': 125.09048868620137}"
"{'roll': 223.28961100717942, 'pitch': 301.1983072089024, 'yaw': 126.35119134282398}"
"{'roll': 223.4947215879549, 'pitch': 300.67616656761163, 'yaw': 126.6282921174514}"
"{'roll': 222.84665957912574, 'pitch': 301.3867316375356, 'yaw': 127.25840438914176}"
"{'roll': 222.49698121437777, 'pitch': 301.7243547183985, 'yaw': 127.62093716990769}"
"{'roll': 221.56242009062328, 'pitch': 301.3540150314112, 'yaw': 127.95370398627071}"
"{'roll': 223.83763806542456, 'pitch': 301.4612763221371, 'yaw': 126.63830517477463}"
"{'roll': 223.8182266678034, 'pitch': 301.6831140361899, 'yaw': 126.94381953634931}"
"{'roll': 222.87318803386208, 'pitch': 301.4235053760269, 'yaw': 127.36492801943727}"
"{'roll': 222.9900798913177, 'pitch': 301.2198018142205, 'yaw': 127.74245989562056}"
"{'roll': 222.04203597414158, 'pitch': 301.39237337379, 'yaw': 128.63847143169951}"
"{'roll': 221.82489060004852, 'pitch': 301.46954768122197, 'yaw': 128.70544826670064}"
"{'roll': 221.0953990759345, 'pitch': 300.617365469047, 'yaw': 128.72906706085055}"
"{'roll': 222.37383290364247, 'pitch': 301.176033962019, 'yaw': 127.84246752544789}"
"{'roll': 222.8673960334459, 'pitch': 300.86204333568435, 'yaw': 127.2155517822891}"
"{'roll': 223.83007021582418, 'pitch': 299.8799304349282, 'yaw': 125.91323961324277}"
"{'roll': 224.33777183720957, 'pitch': 299.7727989177966, 'yaw': 125.77924496210545}"
"{'roll': 224.01712177643415, 'pitch': 299.1662371383644, 'yaw': 125.69266548418636}"
"{'roll': 223.77240975885096, 'pitch': 299.0958656993458, 'yaw': 125.29027171942424}"
"{'roll': 222.74341443963183, 'pitch': 299.30394058222106, 'yaw': 126.77973107172892}"
"{'roll': 222.46317177798622, 'pitch': 299.5769159225898, 'yaw': 127.44829730844644}"
"{'roll': 222.45093207899356, 'pitch': 300.0568938061341, 'yaw': 128.12303803617365}"
"{'roll': 222.41754611433052, 'pitch': 300.2940926156303, 'yaw': 127.5266395782265}"
"{'roll': 222.2835378028149, 'pitch': 300.0839072043015, 'yaw': 126.80191552615312}"
"{'roll': 223.00058472226115, 'pitch': 300.0439779184136, 'yaw': 125.4176274266883}"
"{'roll': 221.80807467431197, 'pitch': 300.2378596681936, 'yaw': 126.34288583279324}"
"{'roll': 221.87128124489126, 'pitch': 299.61821807650085, 'yaw': 125.18867948570947}"
"{'roll': 222.9617209458838, 'pitch': 299.6058007925898, 'yaw': 124.49190456771979}"
"{'roll': 222.56309744554352, 'pitch': 299.8514826970351, 'yaw': 124.93708263744288}"
"{'roll': 222.3455832412353, 'pitch': 299.43313361037184, 'yaw': 125.1555120870999}"
"{'roll': 221.54261254203024, 'pitch': 299.2752401273287, 'yaw': 126.30098945242439}"
"{'roll': 221.69540387376344, 'pitch': 300.1545586810761, 'yaw': 125.86242300581786}"
"{'roll': 220.0583168127381, 'pitch': 300.5805234286639, 'yaw': 126.97348987810383}"
"{'roll': 219.6164855357083, 'pitch': 300.42965138008753, 'yaw': 126.6730025357583}"
"{'roll': 218.82897838478416, 'pitch': 300.4709808547553, 'yaw': 127.21452725391359}"
"{'roll': 217.46437489050732, 'pitch': 300.3793538670396, 'yaw': 128.0431521436412}"
"{'roll': 217.7992454051347, 'pitch': 300.22827691278803, 'yaw': 127.55676071246624}"
"{'roll': 216.92291847424374, 'pitch': 300.34135069449763, 'yaw': 128.14863758518288}"
"{'roll': 219.02111160613663, 'pitch': 300.06961161836864, 'yaw': 125.85925379804299}"
"{'roll': 218.82508517695726, 'pitch': 299.3007713744462, 'yaw': 125.7645190742549}"
"{'roll': 217.21456755180327, 'pitch': 299.7731814083901, 'yaw': 126.6968262355833}"
"{'roll': 217.28278748123336, 'pitch': 299.84903748931225, 'yaw': 126.21099487992029}"
"{'roll': 215.08404030437956, 'pitch': 300.1596130210619, 'yaw': 127.48108221646251}"
"{'roll': 215.37667292917956, 'pitch': 299.89621360590957, 'yaw': 126.57205233982552}"
"{'roll': 214.67890080357105, 'pitch': 300.3660691491039, 'yaw': 127.33383699833537}"
"{'roll': 216.40471202191486, 'pitch': 300.416291530071, 'yaw': 126.47000931362552}"
"{'roll': 216.39950741776732, 'pitch': 300.259729933916, 'yaw': 126.91215477935712}"
"{'roll': 217.11782475239923, 'pitch': 300.6994233617355, 'yaw': 126.34360983284526}"
"{'roll': 217.70619090788244, 'pitch': 300.70424547528955, 'yaw': 126.2446813729068}"
"{'roll': 216.47030915870369, 'pitch': 300.25494880149694, 'yaw': 127.42532055207853}"
"{'roll': 216.00655297443814, 'pitch': 300.5848469384086, 'yaw': 127.09812717007823}"
"{'roll': 217.27097125396924, 'pitch': 300.9697622490846, 'yaw': 126.96410519818424}"
"{'roll': 219.4251172955429, 'pitch': 300.69846030506255, 'yaw': 125.9337301807528}"
"{'roll': 219.83669083454953, 'pitch': 300.503711121258, 'yaw': 125.76268858355733}"
"{'roll': 220.41360959298382, 'pitch': 300.38278262200294, 'yaw': 125.02065683212716}"
"{'roll': 220.23092935344266, 'pitch': 300.3200473344763, 'yaw': 125.19277759921148}"
"{'roll': 220.728344709938, 'pitch': 300.17983038100516, 'yaw': 124.33765157550422}"
"{'roll': 221.59405752685876, 'pitch': 299.72542472571337, 'yaw': 123.68248616993826}"
"{'roll': 222.46058996647994, 'pitch': 299.1969661594403, 'yaw': 123.17705217135732}"
