"{'x': -11.430594444274902, 'y': 8.969371795654297, 'z': -11.297554016113281}"
"{'x': -11.26625919342041, 'y': 8.741722106933594, 'z': -11.318263053894043}"
"{'x': -11.24443244934082, 'y': 8.519547462463379, 'z': -11.23845100402832}"
"{'x': -11.225266456604004, 'y': 8.493912696838379, 'z': -11.161592483520508}"
"{'x': -11.177964210510254, 'y': 8.544991493225098, 'z': -11.807038307189941}"
"{'x': -11.120177268981934, 'y': 8.546757698059082, 'z': -12.14726448059082}"
"{'x': -11.064542770385742, 'y': 8.477954864501953, 'z': -11.900335311889648}"
"{'x': -11.065767288208008, 'y': 8.339681625366211, 'z': -11.743228912353516}"
"{'x': -11.098184585571289, 'y': 8.126115798950195, 'z': -11.691875457763672}"
"{'x': -11.135956764221191, 'y': 7.954060077667236, 'z': -11.791186332702637}"
"{'x': -11.218263626098633, 'y': 7.780132293701172, 'z': -11.701934814453125}"
"{'x': -11.302781105041504, 'y': 7.626572132110596, 'z': -11.713305473327637}"
"{'x': -11.279682159423828, 'y': 7.551698207855225, 'z': -11.602784156799316}"
"{'x': -11.30356216430664, 'y': 7.483745098114014, 'z': -11.836402893066406}"
"{'x': -11.41949462890625, 'y': 7.446948051452637, 'z': -11.919157028198242}"
"{'x': -11.547924995422363, 'y': 7.330141067504883, 'z': -11.664188385009766}"
"{'x': -11.542613983154297, 'y': 7.195721626281738, 'z': -11.890167236328125}"
"{'x': -11.660283088684082, 'y': 7.1140546798706055, 'z': -11.760380744934082}"
"{'x': -11.463677406311035, 'y': 7.265495300292969, 'z': -11.711009979248047}"
"{'x': -11.186678886413574, 'y': 7.11710262298584, 'z': -11.671889305114746}"
"{'x': -11.208460807800293, 'y': 6.881464004516602, 'z': -11.49233341217041}"
"{'x': -11.38508415222168, 'y': 6.945742607116699, 'z': -11.860987663269043}"
"{'x': -11.351997375488281, 'y': 6.841026782989502, 'z': -12.009902000427246}"
"{'x': -11.312612533569336, 'y': 6.672533988952637, 'z': -12.49629020690918}"
"{'x': -11.367066383361816, 'y': 6.640110015869141, 'z': -12.149826049804688}"
"{'x': -11.458312034606934, 'y': 6.751813888549805, 'z': -11.621212005615234}"
"{'x': -11.465593338012695, 'y': 6.6520891189575195, 'z': -11.614951133728027}"
"{'x': -11.650419235229492, 'y': 6.6979804039001465, 'z': -11.885851860046387}"
"{'x': -11.651494026184082, 'y': 6.839277744293213, 'z': -11.754576683044434}"
"{'x': -11.425213813781738, 'y': 6.761454105377197, 'z': -11.692265510559082}"
"{'x': -11.414941787719727, 'y': 6.8616790771484375, 'z': -11.685247421264648}"
"{'x': -11.616887092590332, 'y': 7.083739757537842, 'z': -11.656046867370605}"
"{'x': -11.663887023925781, 'y': 7.00999116897583, 'z': -11.917404174804688}"
"{'x': -11.49708366394043, 'y': 6.873620510101318, 'z': -12.040274620056152}"
"{'x': -11.558736801147461, 'y': 6.726347923278809, 'z': -11.797714233398438}"
"{'x': -11.712724685668945, 'y': 6.490294933319092, 'z': -11.620024681091309}"
"{'x': -11.723669052124023, 'y': 6.498236179351807, 'z': -11.817708015441895}"
"{'x': -11.71074390411377, 'y': 6.438704490661621, 'z': -11.869385719299316}"
"{'x': -11.639405250549316, 'y': 6.250680923461914, 'z': -11.95768928527832}"
"{'x': -11.728480339050293, 'y': 6.205785274505615, 'z': -11.85938549041748}"
"{'x': -11.762896537780762, 'y': 6.357131481170654, 'z': -11.748778343200684}"
"{'x': -11.696782112121582, 'y': 6.3709635734558105, 'z': -12.034124374389648}"
"{'x': -11.72278881072998, 'y': 6.455840587615967, 'z': -12.286426544189453}"
"{'x': -11.694954872131348, 'y': 6.474286079406738, 'z': -12.089597702026367}"
"{'x': -11.701399803161621, 'y': 6.4724297523498535, 'z': -11.873579978942871}"
"{'x': -11.685997009277344, 'y': 6.5431413650512695, 'z': -11.967972755432129}"
"{'x': -11.63606071472168, 'y': 6.643304347991943, 'z': -12.018577575683594}"
"{'x': -11.542581558227539, 'y': 6.603055953979492, 'z': -11.839109420776367}"
"{'x': -11.560728073120117, 'y': 6.5040788650512695, 'z': -11.769574165344238}"
"{'x': -11.60263729095459, 'y': 6.453344345092773, 'z': -11.691778182983398}"
"{'x': -11.568973541259766, 'y': 6.320562362670898, 'z': -11.590676307678223}"
"{'x': -11.720376014709473, 'y': 6.194369316101074, 'z': -11.49209213256836}"
"{'x': -11.889057159423828, 'y': 6.126492500305176, 'z': -11.581710815429688}"
"{'x': -11.869436264038086, 'y': 6.109299659729004, 'z': -11.811685562133789}"
"{'x': -11.750590324401855, 'y': 6.3311238288879395, 'z': -11.651045799255371}"
"{'x': -11.723484992980957, 'y': 6.318213939666748, 'z': -11.581836700439453}"
"{'x': -11.707710266113281, 'y': 6.2555012702941895, 'z': -11.621471405029297}"
"{'x': -11.86982250213623, 'y': 6.415808200836182, 'z': -11.775921821594238}"
"{'x': -12.047073364257812, 'y': 6.553559303283691, 'z': -12.014019012451172}"
"{'x': -12.152626037597656, 'y': 6.671688079833984, 'z': -12.379392623901367}"
"{'x': -12.23264217376709, 'y': 6.734667778015137, 'z': -12.606462478637695}"
"{'x': -12.423319816589355, 'y': 6.825656414031982, 'z': -12.487709999084473}"
"{'x': -12.661019325256348, 'y': 6.634931564331055, 'z': -12.47811508178711}"
"{'x': -12.703474044799805, 'y': 6.5576372146606445, 'z': -12.335893630981445}"
"{'x': -12.64340877532959, 'y': 6.523853778839111, 'z': -12.356566429138184}"
"{'x': -12.642306327819824, 'y': 6.576305866241455, 'z': -12.38870906829834}"
"{'x': -12.525057792663574, 'y': 6.643340110778809, 'z': -12.423806190490723}"
"{'x': -12.529767990112305, 'y': 6.674148082733154, 'z': -12.455650329589844}"
"{'x': -12.551835060119629, 'y': 6.761228561401367, 'z': -12.429121971130371}"
"{'x': -12.654716491699219, 'y': 6.829792022705078, 'z': -12.685450553894043}"
"{'x': -12.766011238098145, 'y': 6.9956817626953125, 'z': -12.506082534790039}"
"{'x': -12.797077178955078, 'y': 7.037746429443359, 'z': -12.267778396606445}"
"{'x': -12.933096885681152, 'y': 7.058157444000244, 'z': -12.215353965759277}"
"{'x': -12.967462539672852, 'y': 7.10317325592041, 'z': -12.393710136413574}"
"{'x': -13.019376754760742, 'y': 7.1687822341918945, 'z': -12.470255851745605}"
"{'x': -13.08696460723877, 'y': 7.179944038391113, 'z': -12.52258586883545}"
"{'x': -13.038273811340332, 'y': 7.188605308532715, 'z': -12.706483840942383}"
"{'x': -13.025338172912598, 'y': 7.301036834716797, 'z': -12.580086708068848}"
"{'x': -13.036924362182617, 'y': 7.325954914093018, 'z': -12.66623306274414}"
"{'x': -13.11247444152832, 'y': 7.33864688873291, 'z': -12.856585502624512}"
"{'x': -13.190852165222168, 'y': 7.503540992736816, 'z': -13.06043815612793}"
"{'x': -13.102499008178711, 'y': 7.694473743438721, 'z': -13.157269477844238}"
"{'x': -13.209989547729492, 'y': 7.950891494750977, 'z': -13.21509838104248}"
"{'x': -13.521340370178223, 'y': 8.047483444213867, 'z': -13.357192993164062}"
"{'x': -13.41999340057373, 'y': 8.020339012145996, 'z': -13.54823112487793}"
